,V1,N05B
946,NA,0.049458493
947,NA,5.25E-06
948,NA,0.043397908
949,NA,0.086234998
950,NA,0.692040665
951,NA,1.05431172
952,NA,1.246042261
953,NA,1.16558461
954,NA,1.078179961
955,NA,0.637653679
956,NA,0.645803833
957,NA,0.543262159
958,NA,0.451390608
959,NA,0.461177408
960,NA,0.287054302
961,NA,0.062378807
962,NA,0.048161265
963,NA,0.037517461
964,NA,0.02333907
965,NA,0.029872571
966,NA,0.029872571
967,NA,0.029872571
968,NA,0.029872571
969,NA,0.029872571
970,NA,0.029872571
971,NA,3.17E-06
972,NA,0.026212022
973,NA,0.052085314
974,NA,0.417987547
975,NA,0.636796638
976,NA,0.752600496
977,NA,0.704004658
978,NA,0.651212883
979,NA,0.385138201
980,NA,0.390060835
981,NA,0.328126407
982,NA,0.272636656
983,NA,0.278547813
984,NA,0.173378718
985,NA,0.037676347
986,NA,0.029089055
987,NA,0.022660275
988,NA,0.014096629
989,NA,0.053935989
990,NA,0.053935989
991,NA,0.053935989
992,NA,0.053935989
993,NA,0.053935989
994,NA,0.053935989
995,NA,5.73E-06
996,NA,0.047326738
997,NA,0.094041885
998,NA,0.754691373
999,NA,1.149758966
1000,NA,1.358846947
1001,NA,1.271105434
1002,NA,1.175788008
1003,NA,0.695380712
1004,NA,0.704268703
1005,NA,0.592443892
1006,NA,0.492255173
1007,NA,0.502927977
1008,NA,0.313041438
1009,NA,0.068025984
1010,NA,0.052521323
1011,NA,0.040913931
1012,NA,0.025451965
1013,NA,0.065102358
1014,NA,0.065102358
1015,NA,0.065102358
1016,NA,0.065102358
1017,NA,0.065102358
1018,NA,0.065102358
1019,NA,6.91E-06
1020,NA,0.057124793
1021,NA,0.113511378
1022,NA,0.910935138
1023,NA,1.38779358
1024,NA,1.640169048
1025,NA,1.534262409
1026,NA,1.419211415
1027,NA,0.83934539
1028,NA,0.850073461
1029,NA,0.715097558
1030,NA,0.594166768
1031,NA,0.607049162
1032,NA,0.377850411
1033,NA,0.082109405
1034,NA,0.063394813
1035,NA,0.049384343
1036,NA,0.030721285
1037,NA,0.071503999
1038,NA,0.071503999
1039,NA,0.071503999
1040,NA,0.071503999
1041,NA,0.071503999
1042,NA,0.071503999
1043,NA,7.59E-06
1044,NA,0.062741985
1045,NA,0.124673172
1046,NA,1.000509159
1047,NA,1.524258017
1048,NA,1.801450055
1049,NA,1.68512941
1050,NA,1.558765229
1051,NA,0.921879852
1052,NA,0.933662835
1053,NA,0.78541449
1054,NA,0.65259234
1055,NA,0.666741485
1056,NA,0.415005176
1057,NA,0.090183382
1058,NA,0.069628548
1059,NA,0.054240402
1060,NA,0.033742169
1061,NA,0.05362992
1062,NA,0.05362992
1063,NA,0.05362992
1064,NA,0.05362992
1065,NA,0.05362992
1066,NA,0.05362992
1067,NA,5.69E-06
1068,NA,0.047058173
1069,NA,0.093508227
1070,NA,0.750408738
1071,NA,1.143234447
1072,NA,1.35113592
1073,NA,1.263892312
1074,NA,1.169115782
1075,NA,0.691434646
1076,NA,0.7002722
1077,NA,0.58908196
1078,NA,0.489461781
1079,NA,0.500074019
1080,NA,0.311265027
1081,NA,0.067639958
1082,NA,0.052223281
1083,NA,0.040681758
1084,NA,0.025307533
1085,NA,0.067338101
1086,NA,0.067338101
1087,NA,0.067338101
1088,NA,0.067338101
1089,NA,0.067338101
1090,NA,0.067338101
1091,NA,7.15E-06
1092,NA,0.05908657
1093,NA,0.117409582
1094,NA,0.942218442
1095,NA,1.435453139
1096,NA,1.696495678
1097,NA,1.586951996
1098,NA,1.467949925
1099,NA,0.868170161
1100,NA,0.879266655
1101,NA,0.739655414
1102,NA,0.614571623
1103,NA,0.627896424
1104,NA,0.390826537
1105,NA,0.084929203
1106,NA,0.065571915
1107,NA,0.051080299
1108,NA,0.031776315
1109,NA,0.049014417
1110,NA,0.049014417
1111,NA,0.049014417
1112,NA,0.049014417
1113,NA,0.049014417
1114,NA,0.049014417
1115,NA,5.20E-06
1116,NA,0.043008249
1117,NA,0.085460714
1118,NA,0.685826993
1119,NA,1.0448453
1120,NA,1.234854338
1121,NA,1.155119097
1122,NA,1.068499234
1123,NA,0.631928335
1124,NA,0.640005311
1125,NA,0.538384334
1126,NA,0.447337677
1127,NA,0.457036604
1128,NA,0.284476908
1129,NA,0.061818722
1130,NA,0.047728836
1131,NA,0.037180601
1132,NA,0.023129514
1133,NA,0.029604353
1134,NA,0.029604353
1135,NA,0.029604353
1136,NA,0.029604353
1137,NA,0.029604353
1138,NA,0.029604353
1139,NA,3.14E-06
1140,NA,0.02597667
1141,NA,0.051617652
1142,NA,0.414234534
1143,NA,0.63107899
1144,NA,0.745843071
1145,NA,0.697683564
1146,NA,0.645365794
1147,NA,0.381680135
1148,NA,0.38655857
1149,NA,0.325180237
1150,NA,0.270188715
1151,NA,0.276046797
1152,NA,0.171821991
1153,NA,0.03733806
1154,NA,0.028827871
1155,NA,0.022456813
1156,NA,0.013970059
1157,NA,0.051998752
1158,NA,0.051998752
1159,NA,0.051998752
1160,NA,0.051998752
1161,NA,0.051998752
1162,NA,0.051998752
1163,NA,5.52E-06
1164,NA,0.045626887
1165,NA,0.09066415
1166,NA,0.72758486
1167,NA,1.108462672
1168,NA,1.310040768
1169,NA,1.225450697
1170,NA,1.13355682
1171,NA,0.670404481
1172,NA,0.678973238
1173,NA,0.571164878
1174,NA,0.474574673
1175,NA,0.484864137
1176,NA,0.30179782
1177,NA,0.065582671
1178,NA,0.050634896
1179,NA,0.039444412
1180,NA,0.024537798
1181,NA,0.062764054
1182,NA,0.062764054
1183,NA,0.062764054
1184,NA,0.062764054
1185,NA,0.062764054
1186,NA,0.062764054
1187,NA,6.66E-06
1188,NA,0.055073022
1189,NA,0.10943435
1190,NA,0.878216763
1191,NA,1.337947714
1192,NA,1.581258525
1193,NA,1.479155771
1194,NA,1.368237104
1195,NA,0.809198329
1196,NA,0.819541077
1197,NA,0.68941315
1198,NA,0.572825874
1199,NA,0.585245566
1200,NA,0.364279026
1201,NA,0.079160253
1202,NA,0.061117839
1203,NA,0.047610589
1204,NA,0.029617858
1205,NA,0.068935765
1206,NA,0.068935765
1207,NA,0.068935765
1208,NA,0.068935765
1209,NA,0.068935765
1210,NA,0.068935765
1211,NA,7.32E-06
1212,NA,0.060488459
1213,NA,0.120195243
1214,NA,0.964573523
1215,NA,1.46951071
1216,NA,1.736746746
1217,NA,1.62460403
1218,NA,1.502778515
1219,NA,0.888768372
1220,NA,0.900128142
1221,NA,0.757204484
1222,NA,0.629152954
1223,NA,0.642793899
1224,NA,0.40009929
1225,NA,0.086944234
1226,NA,0.067127675
1227,NA,0.05229223
1228,NA,0.03253024
1229,NA,0.051703675
1230,NA,0.051703675
1231,NA,0.051703675
1232,NA,0.051703675
1233,NA,0.051703675
1234,NA,0.051703675
1235,NA,5.49E-06
1236,NA,0.045367969
1237,NA,0.09014966
1238,NA,0.723456046
1239,NA,1.102172497
1240,NA,1.3026067
1241,NA,1.218496651
1242,NA,1.127124243
