iter	Passed	Remaining
766	3329	1011
767	3333	1006
768	3337	1002
769	3341	998
770	3346	993
771	3350	989
772	3354	985
773	3358	980
774	3362	976
775	3367	971
776	3371	967
777	3376	963
778	3380	959
779	3385	954
780	3389	950
781	3393	946
782	3397	941
783	3402	937
784	3406	932
785	3410	928
786	3414	924
787	3419	920
788	3424	915
789	3427	911
790	3432	907
791	3436	902
792	3440	898
793	3445	893
794	3450	889
795	3454	885
796	3458	880
797	3462	876
798	3467	872
799	3471	867
800	3475	863
801	3479	859
802	3484	854
803	3488	850
804	3492	845
805	3496	841
806	3500	837
807	3504	832
808	3508	828
809	3513	824
810	3517	819
811	3521	815
812	3525	810
813	3530	806
814	3534	802
815	3538	797
816	3542	793
817	3547	789
818	3551	784
819	3555	780
820	3559	776
821	3564	771
822	3568	767
823	3572	762
824	3576	758
825	3580	754
826	3585	749
827	3589	745
828	3594	741
829	3598	736
830	3602	732
831	3606	728
832	3610	723
833	3614	719
834	3618	715
835	3622	710
836	3627	706
837	3631	702
838	3635	697
839	3639	693
840	3644	689
841	3648	684
842	3652	680
843	3657	676
844	3661	671
845	3665	667
846	3669	662
847	3674	658
848	3678	654
849	3683	649
850	3687	645
851	3692	641
852	3696	636
853	3700	632
854	3704	628
855	3709	624
856	3714	619
857	3718	615
858	3722	611
859	3727	606
860	3731	602
861	3735	597
862	3739	593
863	3743	589
864	3747	584
865	3752	580
866	3757	576
867	3761	571
868	3765	567
869	3769	563
870	3773	558
871	3777	554
872	3781	550
873	3785	545
874	3790	541
875	3795	537
876	3799	532
877	3803	528
878	3808	524
879	3813	519
880	3817	515
881	3822	511
882	3825	506
883	3830	502
884	3834	498
885	3838	493
886	3842	489
887	3847	485
888	3851	480
889	3856	476
890	3860	472
891	3864	467
892	3869	463
893	3873	459
894	3877	454
895	3881	450
896	3886	446
897	3890	441
898	3894	437
899	3899	433
900	3903	428
901	3907	424
902	3911	420
903	3915	415
904	3920	411
905	3924	407
906	3928	402
907	3933	398
908	3937	394
909	3941	389
910	3945	385
911	3951	381
912	3955	376
913	3959	372
914	3963	368
915	3968	363
916	3972	359
917	3976	355
918	3980	350
919	3985	346
920	3989	342
921	3993	337
922	3998	333
923	4003	329
924	4007	324
925	4011	320
926	4015	316
927	4019	311
928	4023	307
929	4027	303
930	4032	298
931	4036	294
932	4040	290
933	4044	285
934	4049	281
935	4054	277
936	4058	272
937	4062	268
938	4066	264
939	4071	259
940	4075	255
941	4079	251
942	4084	246
943	4088	242
944	4092	238
945	4097	233
946	4101	229
947	4105	225
948	4109	220
949	4114	216
950	4118	212
951	4122	207
