"","V1","M01AB","M01AE","N02BA","N02BE","N05B","N05C","R03","R06"
"4251",NA,0.0532389448860456,0.0299055954004196,0.00987382879954036,0.145197892580995,0.00975052004435691,0.0157753624145807,0.0523022470430043,0.0692495338903573
"4252",NA,0.0838952870233465,0.044110764495569,0.0233072209301724,0.450573262686792,-0.0455184097235158,0.0157678015044387,0.1143253516024,0.177574374740008
"4253",NA,0.0837558243818407,0.0435590441703034,0.034015844117943,0.485015501711867,0.0348821226123981,0.0146066962453399,0.123654386238356,0.177211863170345
"4254",NA,0.0837710101864059,0.0434574335074009,0.0340043821520074,0.485685105656228,0.0342189848853277,0.0145965714789889,0.123625738629661,0.177154078051373
"4255",NA,0.0836565852377082,0.0433696431045986,0.0340436760371022,0.485461177403217,0.0335876346347899,0.0145874927254479,0.123466571492316,0.177110370268848
"4256",NA,0.0836221709770769,0.0431739259589078,0.0341258599183556,0.485615653196821,0.0334395385282717,0.0145843387457888,0.123286894614951,0.177085315119591
"4257",NA,0.0835511576860969,0.0430932762681316,0.034158915932177,0.486034302012315,0.0332944484340798,0.0145811847661292,0.123151241461234,0.177078237207399
"4258",NA,0.0834385923925545,0.043173912055254,0.0342215343835888,0.487649890008819,0.0329085900203217,0.0145736670611874,0.123148468313288,0.177021623408407
"4259",NA,92.9510286019052,2.5486007797558,2.41081049286066,-48.7953193674552,3.77231753274808,-0.655838055243472,25.1322616736243,-0.815849954867423
"4260",NA,0.0554557287787358,0.046112056121514,0.0440371348824183,0.242098594161066,0.0139139852537661,0.0173209959510302,0.0787423892518845,0.0481743409635108
"4261",NA,0.0719171401930388,0.0622292523563554,0.0543245314909743,0.368150883077785,0.0684306705453007,0.0119890420168575,0.112927766819045,0.0504841093867384
"4262",NA,0.356534680575335,0.286314179295111,0.330167685173746,1.29314933094196,0.52019617652635,0.0991461912131996,0.554143267812765,0.188879500302268
"4263",NA,0.404020974913035,0.283585832891446,0.346232775047973,1.58855639874517,0.534626947207944,0.0541590093190285,0.553376953959774,0.288496649444209
"4264",NA,0.387192361279029,0.322314401602042,0.334766443480576,1.59118165549095,0.621086366801188,0.0682011317237032,0.484946132851117,0.229052810469716
"4265",NA,0.365263878584953,0.314745185280248,0.314520395379739,1.809342584387,0.568947601773587,0.0233816262681435,0.550347932648644,0.164113715704183
"4266",NA,0.347914501895226,0.271853458126221,0.304738528928672,1.60761967076135,0.514070696667126,0.113846618661617,0.493196034071009,0.125770370750104
"4267",NA,0.38336153332938,0.292961270225733,0.305623311514517,1.61339618492494,0.430250730971257,0.0726944850055987,0.7727415594099,0.172552232572253
"4268",NA,0.359996936908913,0.233664326331426,0.315658857325584,1.55293850951344,0.527594181840858,0.0702033015032544,0.498261977013397,0.192223442749938
"4269",NA,0.359839631204208,0.279382739251818,0.292920169579091,1.83351780288916,0.440659070486352,0.0512132778340445,0.457310332568186,0.17354388238408
"4270",NA,0.361382833299195,0.302934269233643,0.300785060761644,1.86015919073606,0.449416148168578,0.0825250913286795,0.588727975101498,0.170018858948419
"4271",NA,0.38092018678991,0.341812298832907,0.325222533400445,2.02194008985739,0.461844765435541,0.0719071723209845,0.697658500998814,0.188226227818737
"4272",NA,0.414760873750279,0.304569980903372,0.262889044014635,2.33024540450772,0.404840052882715,0.102051826371895,0.531724290741935,0.184565747654612
"4273",NA,0.0757047346315083,0.0787782588633918,0.0585114338506888,0.573914462019372,0.0717635222841114,0.00412393294391231,0.157358567134541,0.0430581543758025
"4274",NA,0.0707846792467781,0.067320816274865,0.0507137471846087,0.485882786558016,0.0603390035433884,0.0133844965921132,0.13419799406548,0.0487807569253277
"4275",NA,0.0524815395116727,0.0284535692283053,0.0175681348313097,0.181922589958282,0.000444502841323735,0.0145854058190315,0.0617545821988358,0.0685102287794402
